0x3007: 'líng,yuán,xīng',
0x35BF: 'xié,yé',
0x35C0: 'yōu',
0x35C1: 'è',
0x35C2: 'shěng',
0x35C3: 'wěn,hūn',
0x35C4: 'kū',
0x35C5: 'hú',
0x35C6: 'gé',
0x35C7: 'xiá,ya',
0x35C8: 'màn',
0x35C9: 'lüè,è',
0x35CA: 'jí,léi',
0x35CB: 'hóu',
0x35CC: 'zhì',
0x35CF: 'wāi',
0x35D1: 'bai',
0x35D2: 'ài',
0x35D3: 'zhuī',
0x35D4: 'qiān',
0x35D5: 'gòu,gōu',
0x35D6: 'dàn',
0x35D7: 'bēi',
0x35D8: 'bó',
0x35D9: 'chū,nà,zhōu',
0x35DA: 'lì',
0x35DB: 'xiào',
0x35DC: 'xiù',
0x35E2: 'hóng,dòng,hòng',
0x35E3: 'tì',
0x35E4: 'cù',
0x35E5: 'kuò,guō',
0x35E6: 'láo',
0x35E7: 'zhì,dié',
0x35E8: 'xiē,ǎi',
0x35E9: 'xī',
0x35EB: 'qiè',
0x35EC: 'zhā',
0x35ED: 'xī',
0x35F0: 'cóng',
0x35F1: 'jí',
0x35F2: 'huò',
0x35F3: 'tǎ,dā',
0x35F4: 'yán',
0x35F5: 'xù',
0x35F6: 'pō',
0x35F7: 'sǎi',
0x35FB: 'guō',
0x35FC: 'yè',
0x35FD: 'xiǎng',
0x35FE: 'xuē',
0x35FF: 'hé,xià,xiā',
0x3600: 'zuò',
0x3601: 'yì',
0x3602: 'cí',
0x3604: 'lēng',
0x3605: 'xián',
0x3606: 'tǎi',
0x3607: 'róng',
0x3608: 'yì,nǐ',
0x3609: 'zhì',
0x360A: 'xī,yì',
0x360B: 'xián',
0x360C: 'jù',
0x360D: 'jí',
0x360E: 'hǎn',
0x3610: 'pào',
0x3611: 'lì',
0x3613: 'lán',
0x3614: 'sǎi',
0x3615: 'hǎn,lán',
0x3616: 'yán',
0x3617: 'qū',
0x3619: 'yán',
0x361A: 'hǎn',
0x361B: 'kān',
0x361C: 'chǐ',
0x361D: 'niè',
0x361E: 'huò',
0x3620: 'bì',
0x3621: 'xiá',
0x3622: 'wěng',
0x3623: 'xuán,yuán',
0x3624: 'wān',
0x3625: 'yóu',
0x3626: 'qín',
0x3627: 'xù',
0x3628: 'niè',
0x3629: 'bì',
0x362A: 'hào',
0x362B: 'jǐng',
0x362C: 'ào,wù',
0x362D: 'ào',
0x3630: 'zhēn',
0x3631: 'tān',
0x3632: 'jú',
0x3634: 'zuò',
0x3635: 'bù',
0x3636: 'jié',
0x3637: 'ài',
0x3638: 'zàng,zuò',
0x3639: 'cí',
0x363A: 'fá',
0x363F: 'niè',
0x3640: 'liù,jiù',
0x3641: 'méi,mù',
0x3642: 'duì,wèng',
0x3643: 'bāng',
0x3644: 'bì',
0x3645: 'bǎo',
0x3647: 'chù',
0x3648: 'xià',
0x3649: 'tiǎn',
0x364A: 'cháng,zhàng',
0x364D: 'duō',
0x364E: 'wēi',
0x364F: 'fù',
0x3650: 'duǒ',
0x3651: 'yǔ',
0x3652: 'yě',
0x3653: 'kuí',
0x3654: 'wěi,hán',
0x3655: 'kuài',
0x3657: 'wēi',
0x3658: 'yāo',
0x3659: 'lǒng',
0x365A: 'xīng',
0x365B: 'bǔ',
0x365C: 'chí',
0x365D: 'xié',
0x365E: 'niè',
0x365F: 'lǎng',
0x3660: 'yī,yì',
0x3661: 'zōng',
0x3662: 'mán',
0x3663: 'zhàng',
0x3664: 'xià',
0x3665: 'gùn',
0x3666: 'xié',
0x3668: 'jì',
0x3669: 'liáo',
0x366A: 'yì',
0x366B: 'jí',
0x366C: 'yín',
0x366E: 'dā,da',
0x366F: 'yì',
0x3670: 'xiè',
0x3671: 'hào',
0x3672: 'yǒng',
0x3673: 'kǎn,hǎn',
0x3674: 'chàn',
0x3675: 'tái',
0x3676: 'táng',
0x3677: 'zhí,zhé',
0x3678: 'bào',
0x3679: 'méng',
0x367A: 'kuí,guì',
0x367B: 'chán',
0x367C: 'lěi',
0x367E: 'xì',
0x3680: 'xī',
0x3681: 'qiào',
0x3682: 'nàng',
0x3683: 'yūn',
0x3685: 'lóng',
0x3686: 'fù',
0x3687: 'zōng',
0x3689: 'gǔ',
0x368A: 'kāi',
0x368B: 'diāo',
0x368C: 'huà',
0x368D: 'kuǐ,kuì',
0x368F: 'gǎo',
0x3690: 'tào',
0x3692: 'shǎn',
0x3693: 'lǎi',
0x3694: 'niè,xìng',
0x3695: 'fú',
0x3696: 'gǎo,zé',
0x3697: 'qié',
0x3698: 'bàn,hè,fú',
0x3699: 'jiā',
0x369A: 'kōng,kuāng',
0x369B: 'xì',
0x369C: 'yù,xù',
0x369D: 'zhuī',
0x369E: 'shěn',
0x369F: 'chuò',
0x36A0: 'xiāo',
0x36A1: 'jǐ',
0x36A2: 'nú,wǔ',
0x36A3: 'xiáo',
0x36A4: 'yì',
0x36A5: 'yú',
0x36A6: 'yí',
0x36A7: 'yǎn',
0x36A8: 'shěn',
0x36A9: 'rǎn',
0x36AA: 'hào',
0x36AB: 'sà',
0x36AC: 'jūn',
0x36AD: 'yóu',
0x36AF: 'xín',
0x36B0: 'pēi,bǐ',
0x36B1: 'qiū',
0x36B2: 'chān,diǎn,diàn',
0x36B4: 'bù',
0x36B5: 'dōng',
0x36B6: 'sì,yí',
0x36B7: 'ěr',
0x36B9: 'mǎo,liǔ',
0x36BA: 'yùn',
0x36BB: 'jī',
0x36BD: 'qiǎo',
0x36BE: 'xiōng',
0x36BF: 'páo',
0x36C0: 'chú',
0x36C1: 'pēng',
0x36C2: 'nuǒ',
0x36C3: 'jié',
0x36C4: 'yī',
0x36C5: 'èr',
0x36C6: 'duò,duǒ',
0x36CA: 'duǒ',
0x36CD: 'qiè,xiǎn,xiá',
0x36CE: 'lǚ',
0x36CF: 'qiú',
0x36D0: 'sǒu',
0x36D1: 'càn',
0x36D2: 'dòu',
0x36D3: 'xī',
0x36D4: 'fēng,péng',
0x36D5: 'yì,è',
0x36D6: 'suō',
0x36D7: 'qiē,zuō,suō',
0x36D8: 'pò',
0x36D9: 'xīn,qiè',
0x36DA: 'tǒng,yǒng',
0x36DB: 'xìn',
0x36DC: 'yóu',
0x36DD: 'bèi',
0x36DE: 'lòng',
0x36E3: 'yún',
0x36E4: 'lí',
0x36E5: 'tà',
0x36E6: 'lǎn',
0x36E7: 'mǎn',
0x36E8: 'qiǎng',
0x36E9: 'zhóu',
0x36EA: 'yàn,yān',
0x36EB: 'xī',
0x36EC: 'lù',
0x36ED: 'xī',
0x36EE: 'sǎo',
0x36EF: 'fàn,miǎn,zhuàn',
0x36F1: 'wěi,wēi',
0x36F2: 'fà',
0x36F3: 'yì',
0x36F4: 'nǎo',
0x36F5: 'chēng',
0x36F6: 'tàn',
0x36F7: 'jī',
0x36F8: 'shù',
0x36F9: 'pián',
0x36FA: 'ān',
0x36FB: 'kuā',
0x36FC: 'chā,shà',
0x36FE: 'xián',
0x36FF: 'zhì',
0x3702: 'fēng',
0x3703: 'liàn',
0x3704: 'xún',
0x3705: 'xù',
0x3706: 'mì',
0x3707: 'huì,yè',
0x3708: 'mù',
0x3709: 'yōng',
0x370A: 'zhǎn',
0x370B: 'yì',
0x370C: 'nǒu,gòu,kòu',
0x370D: 'táng',
0x370E: 'xī,xì',
0x370F: 'yún',
0x3710: 'shù',
0x3711: 'fú',
0x3712: 'yì',
0x3713: 'dá',
0x3715: 'lián',
0x3716: 'cáo',
0x3717: 'cān,sēn',
0x3718: 'jù,qù,chá',
0x3719: 'lù',
0x371A: 'sù',
0x371B: 'nèn',
0x371C: 'ào',
0x371D: 'ǎn,yǎn',
0x371E: 'qiàn,cán',
0x3720: 'cuī',
0x3721: 'cōng',
0x3723: 'rán,rǎn',
0x3724: 'niǎn,tiǎn,tán',
0x3725: 'mái',
0x3726: 'xín',
0x3727: 'yuè',
0x3728: 'nái',
0x3729: 'ào',
0x372A: 'shēn',
0x372B: 'mà',
0x372E: 'làn,lán',
0x372F: 'xī',
0x3730: 'yuè',
0x3731: 'zhì',
0x3732: 'wěng',
0x3733: 'huái',
0x3734: 'mèng',
0x3735: 'niǎo',
0x3736: 'wǎn',
0x3737: 'mí,xiǎn',
0x3738: 'niè',
0x3739: 'qú',
0x373A: 'zàn',
0x373B: 'liàn',
0x373C: 'zhí',
0x373D: 'zǐ',
0x373E: 'hái',
0x373F: 'xù',
0x3740: 'hào',
0x3741: 'xuān,qióng',
0x3742: 'zhì,zhè',
0x3743: 'miǎn',
0x3744: 'chún',
0x3745: 'gòu',
0x3747: 'chún',
0x3748: 'luán',
0x3749: 'zhù',
0x374A: 'shǒu',
0x374B: 'liǎo',
0x374C: 'jiù',
0x374D: 'xiě',
0x374E: 'dìng',
0x374F: 'jiè',
0x3750: 'róng',
0x3751: 'máng',
0x3753: 'kè',
0x3754: 'yǎo',
0x3755: 'níng',
0x3756: 'yí',
0x3757: 'láng,lǎng',
0x3758: 'yóng',
0x3759: 'yín',
0x375A: 'yán',
0x375B: 'sù',
0x375D: 'lín',
0x375E: 'yā,yà',
0x375F: 'máo',
0x3760: 'míng',
0x3761: 'zuì',
0x3762: 'yǔ',
0x3763: 'yì',
0x3764: 'gòu',
0x3765: 'mǐ',
0x3766: 'jùn',
0x3767: 'wěn',
0x3769: 'kāng',
0x376A: 'diàn',
0x376B: 'lóng',
0x376D: 'xǐng',
0x376E: 'cuì',
0x376F: 'qiáo',
0x3770: 'mián',
0x3771: 'mèng',
0x3772: 'qǐn',
0x3774: 'wán',
0x3775: 'dé,ài',
0x3776: 'ài',
0x3778: 'biàn',
0x3779: 'nóu',
0x377A: 'lián',
0x377B: 'jǐn',
0x377C: 'yū',
0x377D: 'chuí',
0x377E: 'zuǒ',
0x377F: 'bǒ',
0x3780: 'huī',
0x3781: 'yào',
0x3782: 'tuǐ,tuì',
0x3783: 'jì',
0x3784: 'ān',
0x3785: 'luò',
0x3786: 'jǐ',
0x3787: 'wěi',
0x3788: 'bō',
0x3789: 'zā',
0x378A: 'xù',
0x378B: 'niǎn,jí',
0x378C: 'yùn',
0x378E: 'bǎ,pā',
0x378F: 'zhé,jié',
0x3790: 'jū',
0x3791: 'wěi',
0x3792: 'xiè,xì',
0x3793: 'qì,jī',
0x3794: 'yí',
0x3795: 'xiè',
0x3796: 'cí,cì',
0x3797: 'qiú',
0x3798: 'dū',
0x3799: 'niào',
0x379A: 'qì,zhǎ',
0x379B: 'jǐ',
0x379C: 'tuī',
0x379E: 'sóng',
0x379F: 'diàn,dǐng',
0x37A0: 'láo',
0x37A1: 'zhǎn',
0x37A4: 'yín,cén',
0x37A5: 'cén',
0x37A6: 'jǐ',
0x37A7: 'huì',
0x37A8: 'zǐ',
0x37A9: 'lán',
0x37AA: 'náo',
0x37AB: 'jù',
0x37AC: 'qìn',
0x37AD: 'dài',
0x37AF: 'jié',
0x37B0: 'xǔ',
0x37B1: 'cōng',
0x37B2: 'yòng',
0x37B3: 'dǒu',
0x37B4: 'chí,mín',
0x37B6: 'mǐn',
0x37B7: 'huáng',
0x37B8: 'suì',
0x37B9: 'kě',
0x37BA: 'zú',
0x37BB: 'hào',
0x37BC: 'chéng',
0x37BD: 'xuè',
0x37BE: 'ní',
0x37BF: 'chì',
0x37C0: 'lián',
0x37C1: 'àn',
0x37C2: 'mǔ',
0x37C3: 'sī',
0x37C4: 'xiáng',
0x37C5: 'yáng',
0x37C6: 'huá',
0x37C7: 'cuò,cuó',
0x37C8: 'qiú',
0x37C9: 'láo',
0x37CA: 'fú',
0x37CB: 'duì',
0x37CC: 'máng',
0x37CD: 'láng,lǎng',
0x37CE: 'tuǒ,tuǐ',
0x37CF: 'hán',
0x37D0: 'mǎng',
0x37D1: 'bó',
0x37D2: 'qūn',
0x37D3: 'qí',
0x37D4: 'hán',
0x37D6: 'lòng,lóng',
0x37D7: 'bīn',
0x37D8: 'tiáo',
0x37D9: 'zé',
0x37DA: 'qí',
0x37DB: 'zàn',
0x37DC: 'mí',
0x37DD: 'péi',
0x37DE: 'zhàn',
0x37DF: 'xiàng',
0x37E0: 'gǎng',
0x37E2: 'qí',
0x37E4: 'lù',
0x37E6: 'yùn',
0x37E7: 'è',
0x37E8: 'duān',
0x37E9: 'mín',
0x37EA: 'wēi,wěi',
0x37EB: 'quán',
0x37EC: 'sǒu',
0x37ED: 'mín',
0x37EE: 'tū',
0x37F0: 'mǐng',
0x37F1: 'yǎo',
0x37F2: 'jué',
0x37F3: 'lì',
0x37F4: 'kuài',
0x37F5: 'gǎng',
0x37F6: 'yuán',
0x37F7: 'da',
0x37F9: 'láo',
0x37FA: 'lóu',
0x37FB: 'qiàn,zhǎn',
0x37FC: 'áo',
0x37FD: 'biǎo,biāo',
0x37FE: 'yōng',
0x37FF: 'mǎng,máng',
0x3800: 'dǎo',
0x3802: 'áo',
0x3804: 'xí',
0x3805: 'fú,fù',
0x3806: 'dān',
0x3807: 'jiù',
0x3808: 'rùn',
0x3809: 'tóng',
0x380A: 'qū',
0x380B: 'è',
0x380C: 'qī',
0x380D: 'jí',
0x380E: 'jí,jié',
0x380F: 'huá',
0x3810: 'jiào',
0x3811: 'zuì',
0x3812: 'biǎo',
0x3813: 'méng',
0x3814: 'bài',
0x3815: 'wěi',
0x3816: 'yǐ',
0x3817: 'ào',
0x3818: 'yǔ',
0x3819: 'háo',
0x381A: 'duì',
0x381B: 'wò',
0x381C: 'nì',
0x381D: 'cuán',
0x381F: 'lí',
0x3820: 'lú',
0x3821: 'niǎo',
0x3822: 'huái',
0x3823: 'lì',
0x3825: 'lǜ,léi,lěi',
0x3826: 'fēng',
0x3827: 'mǐ',
0x3828: 'yù',
0x382A: 'jù',
0x382D: 'zhǎn',
0x382E: 'pēng,gāng',
0x382F: 'yǐ',
0x3831: 'jì,qǐ',
0x3832: 'bǐ',
0x3834: 'rèn',
0x3835: 'huāng',
0x3836: 'fán',
0x3837: 'gé',
0x3838: 'kù',
0x3839: 'jiè',
0x383A: 'shā,miáo',
0x383C: 'sī',
0x383D: 'tóng',
0x383E: 'yuān',
0x383F: 'zī,cǐ',
0x3840: 'bì',
0x3841: 'kuǎ',
0x3842: 'lì',
0x3843: 'huāng',
0x3844: 'xún',
0x3845: 'nuǒ',
0x3847: 'zhé,jiē',
0x3848: 'wèn,mén,miǎn',
0x3849: 'xián',
0x384A: 'qià',
0x384B: 'yé,ān',
0x384C: 'mào',
0x384F: 'shù,xū,tóu,shū',
0x3851: 'qiāo,jiǎo',
0x3852: 'zhūn',
0x3853: 'kūn',
0x3854: 'wù',
0x3855: 'yīng',
0x3856: 'chuáng',
0x3857: 'tí',
0x3858: 'lián,lín',
0x3859: 'bī',
0x385A: 'gōu',
0x385B: 'máng',
0x385C: 'xiè,xuě',
0x385D: 'fèng',
0x385E: 'lóu,lǚ',
0x385F: 'zāo',
0x3860: 'zhèng',
0x3861: 'chú',
0x3862: 'màn',
0x3863: 'lóng',
0x3865: 'yìn',
0x3866: 'pīn',
0x3867: 'zhèng',
0x3868: 'jiān,qiān',
0x3869: 'luán',
0x386A: 'nié',
0x386B: 'yì',
0x386D: 'jì',
0x386E: 'jí',
0x386F: 'zhái,dù,duó',
0x3870: 'yǔ',
0x3871: 'jiǔ',
0x3872: 'huán',
0x3873: 'zhǐ',
0x3874: 'lā',
0x3875: 'líng',
0x3876: 'zhǐ',
0x3877: 'běn',
0x3878: 'zhà,zhǎ,chá',
0x3879: 'jū',
0x387A: 'dàn',
0x387B: 'liào',
0x387C: 'yì',
0x387D: 'zhào',
0x387E: 'xiàn',
0x387F: 'chì',
0x3880: 'cì',
0x3881: 'chǐ,shǐ',
0x3882: 'yǎn,tuí,duī',
0x3883: 'láng',
0x3884: 'dòu',
0x3885: 'lòng',
0x3886: 'chán',
0x3888: 'tuí,duī',
0x3889: 'chá',
0x388A: 'ǎi,yǐ',
0x388B: 'chǐ',
0x388D: 'yǐng',
0x388E: 'zhé',
0x388F: 'tóu,yǔ,yú',
0x3891: 'tuí',
0x3892: 'chá',
0x3893: 'yǎo',
0x3894: 'zǒng',
0x3896: 'pān,bān',
0x3897: 'qiào',
0x3898: 'lián',
0x3899: 'qín',
0x389A: 'lǔ',
0x389B: 'yàn,qiān',
0x389C: 'kāng,kàng',
0x389D: 'sū',
0x389E: 'yì',
0x389F: 'chān',
0x38A0: 'jiǒng',
0x38A1: 'jiǎng',
0x38A3: 'jìng',
0x38A5: 'dòng',
0x38A7: 'juàn',
0x38A8: 'hàn',
0x38A9: 'dì',
0x38AC: 'hóng',
0x38AE: 'chí',
0x38AF: 'diāo,mín',
0x38B0: 'bì',
0x38B2: 'xùn',
0x38B3: 'lú',
0x38B5: 'xié,shè',
0x38B6: 'bì',
0x38B8: 'bì',
0x38BA: 'xián',
0x38BB: 'ruì',
0x38BC: 'biè',
0x38BD: 'ěr',
0x38BE: 'juàn',
0x38C0: 'zhèn',
0x38C1: 'bèi',
0x38C2: 'è',
0x38C3: 'yǔ',
0x38C4: 'qú',
0x38C5: 'zàn',
0x38C6: 'mí',
0x38C7: 'yì',
0x38C8: 'sì',
0x38CC: 'shàn',
0x38CD: 'tái',
0x38CE: 'mù',
0x38CF: 'jìng',
0x38D0: 'biàn',
0x38D1: 'róng',
0x38D2: 'cèng',
0x38D3: 'càn',
0x38D4: 'dīng',
0x38D9: 'dí,zhòu',
0x38DA: 'tǒng,tóng,dòng',
0x38DB: 'tà,huì',
0x38DC: 'xíng',
0x38DD: 'sōng',
0x38DE: 'duó',
0x38DF: 'xì',
0x38E0: 'tāo,tóng',
0x38E2: 'tí',
0x38E3: 'shàn',
0x38E4: 'jiàn',
0x38E5: 'zhì',
0x38E6: 'wēi',
0x38E7: 'yìn',
0x38EA: 'huǎn',
0x38EB: 'zhǒng,dòng',
0x38EC: 'qì',
0x38ED: 'zōng',
0x38EF: 'xiè',
0x38F0: 'xiè',
0x38F1: 'zé',
0x38F2: 'wéi',
0x38F5: 'tà',
0x38F6: 'zhān',
0x38F7: 'nìng',
0x38FA: 'xīn',
0x38FB: 'yì',
0x38FC: 'rěn',
0x38FD: 'shù,nù',
0x38FE: 'chà',
0x38FF: 'zhuó,diǎo',
0x3901: 'miǎn',
0x3902: 'jí',
0x3903: 'fáng',
0x3904: 'pèi',
0x3905: 'ài,xì,jì',
0x3906: 'fàn',
0x3907: 'ǎo',
0x3908: 'qìn',
0x3909: 'qiā,yà',
0x390A: 'xiào',
0x390B: 'fēn',
0x390C: 'gān',
0x390D: 'qiāo,qiǎo',
0x390E: 'gē',
0x390F: 'tóng',
0x3910: 'chān',
0x3911: 'yòu',
0x3912: 'gāo',
0x3913: 'bèn',
0x3914: 'fù',
0x3915: 'chù,pò',
0x3916: 'zhù',
0x3918: 'zhòu',
0x391A: 'háng',
0x391B: 'nín',
0x391C: 'jué',
0x391D: 'chōng',
0x391E: 'chà,duó,zé',
0x391F: 'kǒng',
0x3920: 'liè',
0x3921: 'lì,liè',
0x3922: 'yù',
0x3924: 'yú',
0x3925: 'hài',
0x3926: 'lì',
0x3927: 'hóu',
0x3928: 'gǒng',
0x3929: 'kè',
0x392A: 'yuàn',
0x392B: 'dé',
0x392C: 'huì',
0x392E: 'guàng',
0x392F: 'jiǒng',
0x3930: 'zuò',
0x3931: 'fù,dòu',
0x3932: 'qiè',
0x3933: 'běi',
0x3934: 'chè,shè,dié',
0x3935: 'cí',
